State	Number of Customers	Average Monthly Consumption (kWh)	Average Price (cents/kWh)	Average Monthly Bill (Dollar and cents)
New England	6,322,833	626	19.43	121.6
Connecticut	1,468,958	731	20.94	153.13
Maine	699,241	556	15.61	86.75
Massachusetts	2,794,918	602	19.83	119.26
New Hampshire	607,465	621	18.5	114.9
Rhode Island	440,191	594	19.29	114.5
Vermont	312,060	558	17.09	95.33
Middle Atlantic	15,872,487	707	15.97	112.81
New Jersey	3,489,111	696	15.81	110.04
New York	7,079,097	601	18.54	111.32
Pennsylvania	5,304,279	855	13.64	116.62
East North Central	19,800,512	771	12.96	99.87
Illinois	5,172,653	719	12.5	89.91
Indiana	2,804,861	964	11.57	111.51
Michigan	4,282,858	649	14.42	93.61
Ohio	4,892,916	877	12.8	112.25
Wisconsin	2,647,224	668	14.11	94.26
West North Central	9,283,472	912	11.47	104.61
Iowa	1,356,600	847	11.63	98.53
Kansas	1,231,830	896	12.34	110.58
Minnesota	2,374,674	762	12.12	92.32
Missouri	2,734,553	1,033	11.21	115.8
Nebraska	825,940	962	10.6	101.96
North Dakota	371,501	1,091	9.62	104.96
South Dakota	388,374	981	11.08	108.68
South Atlantic	26,787,726	1,118	11.74	131.2
Delaware	413,445	977	13.42	131.18
District of Columbia	247,469	841	12.99	109.21
Florida	8,963,967	1,141	11.58	132.16
Georgia	4,191,209	1,122	11.54	129.46
Maryland	2,255,556	1,012	13.82	139.91
North Carolina	4,336,698	1,113	11.28	125.51
South Carolina	2,185,965	1,146	12.57	144.04
Virginia	3,332,083	1,149	11.37	130.58
West Virginia	861,334	1,107	10.08	111.59
East South Central	8,183,139	1,205	10.82	130.31
Alabama	2,182,616	1,218	11.7	142.48
Kentucky	1,947,068	1,120	10.24	114.72
Mississippi	1,270,397	1,218	11.27	137.24
Tennessee	2,783,058	1,248	10.3	128.51
West South Central	15,442,362	1,177	10.95	128.81
Arkansas	1,356,658	1,122	9.82	110.22
Louisiana	2,043,760	1,286	9.33	120.02
Oklahoma	1,723,938	1,093	10.14	110.87
Texas	10,318,006	1,176	11.56	136
Mountain	9,395,149	844	11.83	99.91
Arizona	2,689,223	1,028	12.13	124.67
Colorado	2,225,725	688	12.12	83.42
Idaho	701,447	957	9.93	95.01
Montana	491,422	818	10.88	89.03
Nevada	1,126,220	913	12.76	116.47
New Mexico	871,047	635	12.47	79.23
Utah	1,021,839	744	10.88	80.92
Wyoming	268,226	832	10.97	91.19
Pacific Contiguous	18,013,417	656	14.28	93.61
California	13,380,684	557	16.99	94.59
Oregon	1,686,973	902	10.66	96.24
Washington	2,945,760	964	9.09	87.64
Pacific Noncontiguous	710,621	549	25.34	139.22
Alaska	282,282	603	19.83	119.64
Hawaii	428,339	514	29.6	152.12
U.S. Total	129,811,718	901	12.65	114.03